s1,s2,score
comp3703,comp4300,0.8967
comp3703,comp4330,0.888
comp3703,comp4610,0.8826
comp3703,comp4620,0.8749
comp3703,comp4670,0.871
comp3703,comp4691,0.8855
comp3704,comp1100,0.8695
comp3704,comp1110,0.8746
comp3704,comp1600,0.84
comp3704,comp1710,0.8813
comp3704,comp1730,0.8755
comp3704,comp2100,0.8821
comp3704,comp2120,0.8763
comp3704,comp2310,0.8773
comp3704,comp2400,0.865
comp3704,comp2410,0.8858
comp3704,comp2420,0.8767
comp3704,comp2550,0.8701
comp3704,comp2560,0.8588
comp3704,comp2610,0.8678
comp3704,comp2620,0.8502
comp3704,comp2700,0.8959
comp3704,comp3120,0.8651
comp3704,comp3300,0.8815
comp3704,comp3310,0.8983
comp3704,comp3320,0.8792
comp3704,comp3425,0.8853
comp3704,comp3430,0.8796
comp3704,comp3530,0.8684
comp3704,comp3600,0.8828
comp3704,comp3620,0.8743
comp3704,comp3701,0.9051
comp3704,comp3703,0.9027
comp3704,comp3704,0.92
comp3704,comp3900,0.879
comp3704,comp4300,0.8802
comp3704,comp4330,0.8833
comp3704,comp4610,0.872
comp3704,comp4620,0.8649
comp3704,comp4670,0.8641
comp3704,comp4691,0.8741
comp3900,comp1100,0.8847
comp3900,comp1110,0.8937
comp3900,comp1600,0.849
comp3900,comp1710,0.9049
comp3900,comp1730,0.8873
comp3900,comp2100,0.8965
comp3900,comp2120,0.91
comp3900,comp2310,0.8755
comp3900,comp2400,0.8711
comp3900,comp2410,0.8954
comp3900,comp2420,0.8865
comp3900,comp2550,0.9008
comp3900,comp2560,0.8891
comp3900,comp2610,0.8734
comp3900,comp2620,0.8686
comp3900,comp2700,0.894
comp3900,comp3120,0.8828
comp3900,comp3300,0.8844
comp3900,comp3310,0.8918
comp3900,comp3320,0.8909
comp3900,comp3425,0.8984
comp3900,comp3430,0.8982
comp3900,comp3530,0.8914
comp3900,comp3600,0.8885
comp3900,comp3620,0.8924
comp3900,comp3701,0.8982
comp3900,comp3703,0.8844
comp3900,comp3704,0.879
comp3900,comp3900,0.92
comp3900,comp4300,0.885
comp3900,comp4330,0.8829
comp3900,comp4610,0.8889
comp3900,comp4620,0.8949
comp3900,comp4670,0.8701
comp3900,comp4691,0.8797
comp4300,comp1100,0.9003
comp4300,comp1110,0.9063
comp4300,comp1600,0.8833
comp4300,comp1710,0.891
comp4300,comp1730,0.9061
comp4300,comp2100,0.9068
comp4300,comp2120,0.8833
comp4300,comp2310,0.9047
comp4300,comp2400,0.8935
comp4300,comp2410,0.8865
comp4300,comp2420,0.8862
comp4300,comp2550,0.8781
comp4300,comp2560,0.869
comp4300,comp2610,0.8826
comp4300,comp2620,0.8833
comp4300,comp2700,0.886
comp4300,comp3120,0.869
comp4300,comp3300,0.9067
comp4300,comp3310,0.906
comp4300,comp3320,0.909
comp4300,comp3425,0.8892
comp4300,comp3430,0.8892
comp4300,comp3530,0.8756
comp4300,comp3600,0.9107
comp4300,comp3620,0.8931
comp4300,comp3701,0.8926
comp4300,comp3703,0.8967
comp4300,comp3704,0.8802
comp4300,comp3900,0.885
comp4300,comp4300,0.92
comp4300,comp4330,0.8998
comp4300,comp4610,0.9012
comp4300,comp4620,0.8775
comp4300,comp4670,0.8819
comp4300,comp4691,0.8989
comp4330,comp1100,0.8874
comp4330,comp1110,0.8939
comp4330,comp1600,0.8705
comp4330,comp1710,0.8884
comp4330,comp1730,0.8947
comp4330,comp2100,0.8973
comp4330,comp2120,0.8812
comp4330,comp2310,0.8914
comp4330,comp2400,0.8822
comp4330,comp2410,0.8907
comp4330,comp2420,0.8873
comp4330,comp2550,0.8784
comp4330,comp2560,0.8675
comp4330,comp2610,0.8862
comp4330,comp2620,0.8768
comp4330,comp2700,0.8924
comp4330,comp3120,0.8769
comp4330,comp3300,0.8911
comp4330,comp3310,0.901
comp4330,comp3320,0.8955
comp4330,comp3425,0.892
comp4330,comp3430,0.8945
comp4330,comp3530,0.8819
comp4330,comp3600,0.901
comp4330,comp3620,0.8883
comp4330,comp3701,0.8999
comp4330,comp3703,0.888
comp4330,comp3704,0.8833
comp4330,comp3900,0.8829
comp4330,comp4300,0.8998
comp4330,comp4330,0.92
comp4330,comp4610,0.8936
comp4330,comp4620,0.8748
comp4330,comp4670,0.8816
comp4330,comp4691,0.8955
comp4610,comp1100,0.891
comp4610,comp1110,0.8968
comp4610,comp1600,0.8691
comp4610,comp1710,0.8944
comp4610,comp1730,0.8964
comp4610,comp2100,0.8971
comp4610,comp2120,0.8833
comp4610,comp2310,0.8868
comp4610,comp2400,0.8821
comp4610,comp2410,0.8844
comp4610,comp2420,0.8822
comp4610,comp2550,0.8763
comp4610,comp2560,0.8719
comp4610,comp2610,0.8808
comp4610,comp2620,0.8719
comp4610,comp2700,0.8829
comp4610,comp3120,0.8648
comp4610,comp3300,0.89
comp4610,comp3310,0.8934
comp4610,comp3320,0.9014
comp4610,comp3425,0.8874
comp4610,comp3430,0.8862
comp4610,comp3530,0.8762
comp4610,comp3600,0.9013
comp4610,comp3620,0.8895
comp4610,comp3701,0.8864
comp4610,comp3703,0.8826
comp4610,comp3704,0.872
comp4610,comp3900,0.8889
comp4610,comp4300,0.9012
comp4610,comp4330,0.8936
comp4610,comp4610,0.92
comp4610,comp4620,0.8771
comp4610,comp4670,0.8772
comp4610,comp4691,0.8917
comp4620,comp1100,0.8825
comp4620,comp1110,0.8923
comp4620,comp1600,0.8605
comp4620,comp1710,0.8902
comp4620,comp1730,0.8847
comp4620,comp2100,0.8914
comp4620,comp2120,0.8961
comp4620,comp2310,0.8664
comp4620,comp2400,0.866
comp4620,comp2410,0.8819
comp4620,comp2420,0.879
comp4620,comp2550,0.9038
comp4620,comp2560,0.9002
comp4620,comp2610,0.8673
comp4620,comp2620,0.8732
comp4620,comp2700,0.8813
comp4620,comp3120,0.8715
comp4620,comp3300,0.8738
comp4620,comp3310,0.8762
comp4620,comp3320,0.8861
comp4620,comp3425,0.8901
comp4620,comp3430,0.8834
comp4620,comp3530,0.8728
comp4620,comp3600,0.8863
comp4620,comp3620,0.8942
comp4620,comp3701,0.8872
comp4620,comp3703,0.8749
comp4620,comp3704,0.8649
comp4620,comp3900,0.8949
comp4620,comp4300,0.8775
comp4620,comp4330,0.8748
comp4620,comp4610,0.8771
comp4620,comp4620,0.92
comp4620,comp4670,0.8738
comp4620,comp4691,0.8815
comp4670,comp1100,0.8775
comp4670,comp1110,0.8805
comp4670,comp1600,0.872
comp4670,comp1710,0.8663
comp4670,comp1730,0.8818
comp4670,comp2100,0.8829
comp4670,comp2120,0.867
comp4670,comp2310,0.8702
comp4670,comp2400,0.8698
comp4670,comp2410,0.8651
comp4670,comp2420,0.8797
comp4670,comp2550,0.8737
comp4670,comp2560,0.8632
comp4670,comp2610,0.882
comp4670,comp2620,0.8785
comp4670,comp2700,0.8685
comp4670,comp3120,0.8553
comp4670,comp3300,0.8696
comp4670,comp3310,0.8754
comp4670,comp3320,0.8805
comp4670,comp3425,0.8843
comp4670,comp3430,0.8759
comp4670,comp3530,0.86
comp4670,comp3600,0.8966
comp4670,comp3620,0.888
comp4670,comp3701,0.8743
comp4670,comp3703,0.871
comp4670,comp3704,0.8641
comp4670,comp3900,0.8701
comp4670,comp4300,0.8819
comp4670,comp4330,0.8816
comp4670,comp4610,0.8772
comp4670,comp4620,0.8738
comp4670,comp4670,0.92
comp4670,comp4691,0.895
comp4691,comp1100,0.8919
comp4691,comp1110,0.8974
comp4691,comp1600,0.892
comp4691,comp1710,0.8772
comp4691,comp1730,0.8964
comp4691,comp2100,0.8991
comp4691,comp2120,0.8813
comp4691,comp2310,0.8833
comp4691,comp2400,0.8819
comp4691,comp2410,0.8774
comp4691,comp2420,0.887
comp4691,comp2550,0.882
comp4691,comp2560,0.871
comp4691,comp2610,0.891
comp4691,comp2620,0.889
comp4691,comp2700,0.8825
comp4691,comp3120,0.8635
comp4691,comp3300,0.8823
comp4691,comp3310,0.8841
comp4691,comp3320,0.8961
comp4691,comp3425,0.8921
comp4691,comp3430,0.8807
comp4691,comp3530,0.8676
comp4691,comp3600,0.9171
comp4691,comp3620,0.899
comp4691,comp3701,0.8892
comp4691,comp3703,0.8855
comp4691,comp3704,0.8741
comp4691,comp3900,0.8797
comp4691,comp4300,0.8989
comp4691,comp4330,0.8955
comp4691,comp4610,0.8917
comp4691,comp4620,0.8815
comp4691,comp4670,0.895
comp4691,comp4691,0.92
